,Firefox 9.0　アクセシビリティサポーテッド検証結果 [等級A]  2012年4月版,,,,,記号の説明,,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,,,
,,,,,,？,判定できず,,,,,
,,,,,,-,テスト不要（N/A）,,,,,
," Windows 7, Firefox9.0, 支援技術なし",,,,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,備考,,,,,,,,
,C006,○,2段組のレイアウトで、左側の段に「野菜」の定義リスト（きゅうり、なす、大根）、右側の段に「果物」の定義リスト（りんご、みかん）が、それぞれ並んで表示されることを確認,,,,,,,,,
,C007,○,「ワシントンは、経済成長を促すためのプランを発表しました」が通常のテキストで表示され、その右の「全文」だけがリンクで表示されるか確認,,,,,,,,,
,C008,○,「東」と「京」、「京」と「都」の間に1文字分のスペースがあることを確認,,,,,,,,,
,C009-1,○,"1:スタイルシート適用を以下のやり方でオフにした。
表示＞スタイルシート
「スタイルシートを使用しない」を選択して実施
背景画像が非表示になることを確認
2:ブラウザのメニューでテキストの文字サイズを変更しておいたり、以下の方法でハイコントラスト表示にした
コントロール パネル→個人設定からハイコントラストを選択し、設定。
過文字サイズを変更しておいたり、ハイコントラスト表示にしておいたりした場合、CSSをオフにしてもそのままの設定で閲覧ができることを確認","1:○
2:○",,,,,,,,
,C009-2,○,マウスを「経済産業省」の上に置くと、テキストの背景の色がオレンジ色に変わることを確認,,,,,,,,,
,C009-3,○,"1:スタイルシート適用を以下のやり方でオフにした。
表示＞スタイルシート
「スタイルシートを使用しない」を選択して実施
背景画像（角丸の囲み枠など）が非表示になることを確認
2:ブラウザのメニューでテキストの文字サイズを変更しておいたり、以下の方法でハイコントラスト表示にした
コントロール パネル→個人設定からハイコントラストを選択し、設定。
過文字サイズを変更しておいたり、ハイコントラスト表示にしておいたりした場合、CSSをオフにしてもそのままの設定で閲覧ができることを確認","1:○
2:○",,,,,,,,
,G001-1,○,"1:「メインコンテンツへスキップ」が常に画面に表示されることを確認
2:メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後、次にTabキーを押下すると「PCサーバ「PRIMERGY」」にフォーカスが移動することを確認","1:○
2:○",,,,,,,,
,G001-2,○,"1:「メインコンテンツへスキップ」が画面に表示されていないことを確認
2:「メインコンテンツへスキップ」にフォーカスを移動させるとリンクが表示されることを確認
3:「メインコンテンツへスキップ」を押下した後、次にTabキーを押下すると「PCサーバ「PRIMERGY」」にフォーカスが移動することを確認","1:○
2:○
3:○",,,,,,,,
,G014-1,‐,テスト不要,,,,,,,,,
,G014-2,‐,テスト不要,,,,,,,,,
,G014-3,‐,テスト不要,,,,,,,,,
,G014-4,‐,テスト不要,,,,,,,,,
,G021,×,「HTMLのリンク 1」へ移動させた後、Tabキーを押下するとFlashムービーにフォーカスがあたり、次にTabキーを押すと、内のボタン「富士通トップページへ」にフォーカスが移動する。そこからFlashムービーから外へ出て「HTMLのリンク2」に移動することを確認,"×:「富士通トップページへ」にフォーカスが移動したところでフォーカス移動不可となる。昔からある既知のバグと思われます。

Flashplayer Version: 11,1,102,55",,,,,,,,
,G053,‐,,,,,,,,,,
,G088-1,○,タイトルバーにページタイトル「自己適合宣言｜ウェブアクセシビリティ基盤委員会」が表示されることを確認,,,,,,,,,
,G090-1,○,"1:ボタン画像をクリックすると、画像が灰色に白いロゴのものに切り替わることを確認
2:ボタン画像にフォーカスを移動させてEnterキーなどを押下すると、画像が灰色に白いロゴのものに切り替わることを確認
","1:○
2:○",,,,,,,,
,G090-2,○,"1:ボタン画像をクリックしてマウスが離れると、画像が灰色に白いロゴのものに切り替わることを確認
2:ボタン画像にフォーカスを移動させてEnterキーなどを押下、キーをあげると、画像が灰色に白いロゴのものに切り替わることを確認","1:○
2:○",,,,,,,,
,G090-3,○,"1:ボタン画像にマウスポインタを乗せる（マウスオーバーする）と、画像が灰色に白いロゴのものに切り替わることを確認
2:ボタン画像にフォーカスを移動させると、画像が灰色に白いロゴのものに切り替わることを確認","1:○
2:○",,,,,,,,
,G090-4,○,"1:ボタン画像にマウスポインタを乗せた後にマウスポインタを外すと、画像が灰色に白いロゴのものに切り替わることを確認
2:ボタン画像にフォーカスを移動させた後にフォーカスを外すと、画像が灰色に白いロゴのものに切り替わることを確認","1:○
2:○",,,,,,,,
,G090-5,○,"1:ボタン画像をクリックすると、画像が灰色に白いロゴのものに切り替わることを確認
2:ボタン画像にフォーカスを移動させてEnterキーなどを押下すると、画像が灰色に白いロゴのものに切り替わることを確認","1:○
2:○",,,,,,,,
,G091,○,"1:テキストリンクをクリックして、リンク先のページへ移動することを確認
2:テキストリンクにフォーカスを移動させて、キー操作によりリンク先のページへ移動することを確認","1:○
2:○",,,,,,,,
,G096-1,‐,テスト不要,,,,,,,,,
,G096-2,‐,テスト不要,,,,,,,,,
,G096-3,‐,テスト不要,,,,,,,,,
,G107,○,"1:「用語解説 (新しいウィンドウで表示)」にマウスポインタを置いただけでは何も起こらずに、リンクをクリックしたときだけリンク先が別ウィンドウで開くことを確認
2:「用語解説 (新しいウィンドウで表示)」にフォーカスを移動させただけでは何も起こらずに、リンクを押下したときだけリンク先が別ウィンドウで開くことを確認","1:○
2:○",,,,,,,,
,G108,‐,テスト不要,,,,,,,,,
,G115-1,○,リンクであることが分かるように文字色が変わり、下線があることを確認,○：青い文字で下線があることを確認,,,,,,,,
,G115-2,○,"1.「吾輩は猫である」が、引用元であることが分かるように斜体（イタリック）で表示されているかを確認
2.「吾輩は猫である。名前はまだ無い。･･･思わなかった。」が、引用部分であることが分かるようにインデントされて表示されているかを確認","1:○
2:○",,,,,,,,
,G115-3,○,「ギアがニュートラルにあることを確認してください」が太字で強調されていることを確認,,,,,,,,,
,G115-4,○,"以下の方法でスタイルシートを無効にした。
表示メニュー＞スタイル＞スタイルを使用しないを選択
1:em要素（「本当に」）又はstrong要素（「素晴らしい」）でマークアップした箇所を他とは区別のつく見た目で表示されることを確認
2:em要素とstrong要素のと区別がつくようには表示されることを確認","1:○：「素晴らしい」の部分が太字になっていることを確認
2:○：「本当に」がイタリックで、「素晴らしい」が太字になっていることを確認",,,,,,,,
,G115-5,○,"1.em要素でマークアップされた「痛烈な」の背景色がCSSで指定したシアンで表示されていることを確認
2.em要素でマークアップされた「痛烈な」が標準のフォントスタイルで表示されていることを確認","1:○
2:○",,,,,,,,
,G117,‐,テスト不要,,,,,,,,,
,G122,‐,テスト不要,,,,,,,,,
,G123-4a,○,"1:4つのスキップリンクは常に表示されることを確認
2:「メイン ナビゲーションをスキップ」を押下した後、Tabキーを押すと「サブ ナビゲーションをスキップ」にフォーカスが移動することを確認
3:：「サブ ナビゲーションをスキップ」を押下した後、Tabキーを押すと「ウルトラ サブ ナビゲーションをスキップ」にフォーカスが移動することを確認
4:：「ウルトラ サブ ナビゲーションをスキップ」を押下した後、Tabキーを押すとリンク「アクセシビリティ」にフォーカスが移動することを確認",,,,,,,,,
,G123-4b,○,"1:4つのスキップリンクは表示されていないことを確認
2:「メイン ナビゲーションをスキップ」にフォーカスを移動すると表示され、それを押下した後、Tabキーを押すと「サブ ナビゲーションをスキップ」にフォーカスが移動することを確認
3:「サブ ナビゲーションをスキップ」にフォーカスを移動すると表示され、それを押下した後、Tabキーを押すと「ウルトラ サブ ナビゲーションをスキップ」にフォーカスが移動することを確認
4:「ウルトラ サブ ナビゲーションをスキップ」にフォーカスを移動すると表示され、それを押下した後、Tabキーを押すとリンク「アクセシビリティ」にフォーカスが移動することを確認",,,,,,,,,
,G124-1,○,"1:3つのスキップリンクは常に表示されていることを確認
2:「メインコンテンツへスキップ」を押下した後、次にTabキーを押下するとリンク「メインコンテンツにあるリンク」にフォーカスが移動することを確認
3:「検索ボックスへスキップ」を押下した後、次にTabキーを押下すると検索のテキストフィールドにフォーカスが移動することを確認
4:「メインメニューへスキップ」を押下した後、次にTabキーを押下するとリンク「このサイトについて」にフォーカスが移動することを確認","1:○
2:○
3:○
4:○",,,,,,,,
,G124-2,○,"1:表示：3つのスキップリンク「メインコンテンツへスキップ」「検索ボックスへスキップ」「メインメニューへスキップ」は常に表示されておらず、フォーカスが当たった時だけ表示されることを確認
2:スキップリンク「メインコンテンツへスキップ」を押下した後、次にTabキーを押下するとリンク「メインコンテンツにあるリンク」にフォーカスが移動することを確認
3:「検索ボックスへスキップ」を押下した後、次にTabキーを押下すると検索のテキストフィールドにフォーカスが移動するかを確認
4:「メインメニューへスキップ」を押下した後、次にTabキーを押下するとリンク「このサイトについて」にフォーカスが移動するかを確認","1:○
2:○
3:○
4:○",,,,,,,,
,G138,○,strong要素でマークアップされた「[必須]」が、強調されていることが分かるように、他のテキストとは区別がつくように表示されるか確認（例：太字で表示される） ,,,,,,,,,
,G187,○,何らかのキー操作により、画像の点滅を静止できるかを確認,○：escを押下すると点滅を止めることができる,,,,,,,,
,G196-1,○,"画像を以下のやり方で非表示にした。
ツール＞オプション＞コンテンツ
「画像を自動的に読み込む」のチェックをオフにする
画像の代わりに代替テキスト「5つ星中、星3個」が表示されるかを確認",,,,,,,,,
,G196-2,○,"画像を以下のやり方で非表示にした。
ツール＞オプション＞コンテンツ
「画像を自動的に読み込む」のチェックをオフにする
画像の代わりに代替テキスト「5つ星中、星3個」が表示されるかを確認",,,,,,,,,
,H002-1,○,アイコン画像が表示されず、代替テキストも表示されないことを確認,,,,,,,,,
,H002-2,○,アイコン画像の代わりに、代替テキスト「富士通株式会社」が表示されることを確認,,,,,,,,,
,H004-1,○,"以下のようにフォーカスが移動することを確認
「夫の姓」→「夫の名」→「夫の出身地」→「妻の姓」→「妻の名」→「妻の出身地 」",,,,,,,,,
,H004-2,○,"以下のようにフォーカスが移動することを確認
「テキストフィールド」→「[検索ボタン]」→「携帯サイト」→「サイトマップ」",,,,,,,,,
,H004-3a,○,"以下のようにフォーカスが移動することを確認
「リンク 1」→「リンク 3」→「リンク 2」→「リンク 4」",,,,,,,,,
,H004-3b,○,"以下のようにフォーカスが移動することを確認
「リンク 1」→「リンク 2」→「リンク 21」→「リンク 3」→「リンク20」",,,,,,,,,
,H024,×,"画像を以下のやり方で非表示にした。
ツール＞オプション＞コンテンツ
「画像を自動的に読み込む」のチェックをオフにする
area要素のalt属性に記述した代替テキストは表示されることを確認",×：ブラウザの設定を画像非表示にした際に、代替テキスト「S棟（ソリューション）棟」及び「O棟（オフィス）棟」及び「C棟（共通）棟」は表示されず、「富士通ソリューションスクエアの建物配置図です。詳細については各建物を選んでご覧ください。」が表示された。,,,,,,,,
,H025,○,ページタイトル「ワールドワイドウェブコンソーシアム」がタイトルバーに表示されていることを確認,,,,,,,,,
,H030-1,‐,テスト不要,,,,,,,,,
,H030-2,○,"画像を以下のやり方で非表示にした。
ツール＞オプション＞コンテンツ
「画像を自動的に読み込む」のチェックをオフにする
リンク画像の代わりに代替テキストが表示されるかを確認",,,,,,,,,
,H030-3,○,"画像を以下のやり方で非表示にした。
ツール＞オプション＞コンテンツ
「画像を自動的に読み込む」のチェックをオフにする
リンク画像の代わりに何も表示されないかを確認",,,,,,,,,
,H030-4,○,"画像を以下のやり方で非表示にした。
ツール＞オプション＞コンテンツ
「画像を自動的に読み込む」のチェックをオフにする
ブラウザの設定を変更して画像非表示にした際に、アイコン画像の代わりに何も表示されず、テキストリンクだけが表示されるかを確認",,,,,,,,,
,H030-5,○,"画像を以下のやり方で非表示にした。
ツール＞オプション＞コンテンツ
「画像を自動的に読み込む」のチェックをオフにする
アイコン画像の代わりに代替テキスト「PDFファイル」が表示されるかを確認",,,,,,,,,
,H032-1,○,"1:マウス操作：[申し込む]ボタンを押下すると、フォームが送信されるかを確認
2:キーボード操作：[申し込む]ボタンを押下すると、フォームが送信されるかを確認","1:○
2:○",,,,,,,,
,H032-2,○,"1:マウス操作：セレクトメニューで選択肢を選んだだけでは何も起こらず、[選択したページへ移動する]ボタンをクリックすると選択したページへリダイレクトされるかを確認 
2:キーボード操作：セレクトメニューで選択肢を選んだだけでは何も起こらず、[選択したページへ移動する]ボタンを押下すると選択したページへリダイレクトされるかを確認","1:○
2:○",,,,,,,,
,H033-1,△,"1:マウス操作：マウスポインタをリンク上に置いた際に、ツールチップでtitle属性値「富士通株式会社の公式サイト」が表示されるかを確認 
2:キーボード操作：リンクにフォーカスを移動させた際に、ツールチップでtitle属性値「富士通株式会社の公式サイト」が表示されるかを確認","1:○
2:×：リンクにフォーカスを移動させても、ツールチップでtitle属性は表示されなかった",,,,,,,,
,H033-2,△,"1:リンク「富士通 公開サイト」にtitle属性値による補足説明があることが分かるように表示されるかを確認
2:マウス操作：リンク「富士通 公開サイト」にマウスポインタを置いた際に、title属性値「新しいウィンドウで開く」がツールチップで表示されるかを確認
3:キーボード操作：リンク「富士通 公開サイト」にフォーカスを移動させた際に、title属性値「新しいウィンドウで開く」がツールチップで表示されるかを確認 ","1:×：リンクによる下線であり、title属性としての補足説明が表示されていない
2:○
3:×：キーボード操作で「富士通公開サイト」にフォーカスが移動した時、ツールチップは表示されなかった",,,,,,,,
,H035,○," 以下のやり方でappletを非表示（無効）にする
> ツール > アドオン > プラグイン > Java? Platform SE 6 を無効化。
アプレットを非表示（無効）にした際に、alt属性「三目並べゲーム(alt属性値)」又はapplet要素のボディに記述した代替テキスト「三目並べゲーム(applet要素のボディ)」が表示されるかを確認",,,,,,,,,
,H036,○,"画像を以下のやり方で非表示にした。
ツール＞オプション＞コンテンツ
「画像を自動的に読み込む」のチェックをオフにする
画像の代わりに代替テキスト「送信」が表示されるかを確認",,,,,,,,,
,H037-1,○,"画像を以下のやり方で非表示にした。
ツール＞オプション＞コンテンツ
「画像を自動的に読み込む」のチェックをオフにする
画像の代わりに代替テキスト「東京駅構内図を見る」が表示されるを確認",,,,,,,,,
,H037-2,○,"画像を以下のやり方で非表示にした。
ツール＞オプション＞コンテンツ
「画像を自動的に読み込む」のチェックをオフにする
caption要素で記述した「3月6日の週の予定」がデータテーブルの表題として表示されるかを確認する",,,,,,,,,
,H039,○,「3月6日の週の予定」とデータデーブルの表題として表示されてることを確認,,,,,,,,,
,H042,○,見出しとしてマークアップされている「本日の株式市場」(h1)、「サイト内ナビゲーション」(h2)、「関連リンク」(h2)が、それぞれ見出しであることが分かるように表示されるかを確認する（例：サイズの大きい太字のテキストで、h1の見出しがh2の見出しよりもサイズが大きい）,,,,,,,,,
,H043,‐,テスト不要,,,,,,,,,
,H044-1,○,マウス操作：マウスポインタでラベル（テキスト）「お名前」をクリックして、テキストフィールドにフォーカスが移動するかを確認,,,,,,,,,
,H044-2,○,マウスポインタでラベル（テキスト）「HTML」をクリックして、チェックボックスの状態（「チェックあり」と「チェックなし」）を切り替えることができるかを確認,,,,,,,,,
,H044-3,○,マウス操作：　ラジオボタンのラベル（「チョコレートタイプ」、「クリームたっぷりタイプ」、「はちみつがけタイプ」）をマウスポインタでクリックすると、それぞれのラジオボタンが選択された状態になるかを確認,,,,,,,,,
,H045,×,"画像を以下のやり方で非表示にした。
ツール＞オプション＞コンテンツ
「画像を自動的に読み込む」のチェックをオフにする
代替テキスト「会員数の遷移グラフ」が表示され、あわせてlongdesc属性で指定しているH45-ref1.htmlへのリンクが提示されるかを確認",×：代替テキストの「会員数の推移グラフ」が表示されるが、リンクが提示されなかった,,,,,,,,
,H048-1,○,各リスト項目の先頭に数字が順に表示されるかを確認,,,,,,,,,
,H048-2,‐,テスト不要,,,,,,,,,
,H048-3,○,用語と定義が区別できるように表示されるか（例：定義がインデントされる） を確認,,,,,,,,,
,H049-1,○,"スタイルシート適用を以下のやり方でオフにした。
表示＞スタイルシート
「スタイルシートを使用しない」を選択して実施
1:「本当に」がイタリック、「素晴らしい」が太字で表示され、他と区別がつき、かつお互いの区別もつく見た目になっていることを確認
2:「本当に」がイタリック、「素晴らしい」が太字区別がつくかを確認","1:○（em要素、strong要素共にOK）
2:○（em要素、strong要素共にOK）",,,,,,,,
,H049-2,○,"スタイルシート適用を以下のやり方でオフにした。
表示＞スタイルシート
「スタイルシートを使用しない」を選択して実施
1:「わが人生の物語」がイタリック表示、「ここが引用されている・・・」以降がインデントされ、他と区別がつくレンダリングになっていることを確認
2:「ここが引用されている･･･」でインデントされ、他と区別がつくレンダリングになっていることを確認","1:○
2:○",,,,,,,,
,H049-3,○,"q要素でマークアップした部分「自己憐憫は･･･でしょう」の前後に引用符（""）が一つずつ表示されるか（引用符が2つ続いて表示されていないか）を確認",,,,,,,,,
,H049-4,○,"1:sup要素でマークアップされた""Zn2+""の""2+""が、上付き文字として表示されていることを確認
2:sub要素でマークアップされた""H2O""の""2""が、下付き文字で表示されていることを確認","1:○
2:○",,,,,,,,
,H050-1,×,キー操作で、リスト全体をスキップすることができることを確認,,,,,,,,,
,H050-2,‐,テスト不要,,,,,,,,,
,H051,○,列見出しセルと行見出しセルが、データセルと区別がつくように太字で表示されていることを確認,,,,,,,,,
,H053-1,○,「ここには、オブジェクトとその動作についての説明が入ります。」という代替テキストが表示されるかを確認,,,,,,,,,
,H053-2,○,富士通のロゴ画像が表示されることを確認,,,,,,,,,
